"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2782","Проверка создания заказа без авторизации и без списка ингредиентов","","Mon Mar 16 19:21:47 MSK 2026","passed","Mon Mar 16 19:21:50 MSK 2026","","test.order.CreateOrderTest","test.order.CreateOrderTest","createOrderWithoutAuthorizationAndIngredients"
"","1754","Проверка создания пользователя, который уже зарегистрирован","","Mon Mar 16 19:22:18 MSK 2026","passed","Mon Mar 16 19:22:20 MSK 2026","","test.user.CreateUserTest","test.user.CreateUserTest","createDuplicateUser"
"","2110","Проверка создания заказа без авторизации и со списком ингредиентов","","Mon Mar 16 19:21:59 MSK 2026","passed","Mon Mar 16 19:22:01 MSK 2026","","test.order.CreateOrderTest","test.order.CreateOrderTest","createOrderWithIngredientsAndWithoutAuthorization"
"","1763","Успешное обновление данных авторизованного пользователя [1] utils.pojo.User@4e451f9a","","Mon Mar 16 19:22:01 MSK 2026","passed","Mon Mar 16 19:22:03 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataSuccess"
"","1696","Успешное обновление данных авторизованного пользователя [3] utils.pojo.User@76379796","","Mon Mar 16 19:22:04 MSK 2026","passed","Mon Mar 16 19:22:06 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataSuccess"
"","1776","Успешное обновление данных авторизованного пользователя [4] utils.pojo.User@6a5a99d9","","Mon Mar 16 19:22:06 MSK 2026","passed","Mon Mar 16 19:22:08 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataSuccess"
"","1366","Проверка создания уникального пользователя","","Mon Mar 16 19:22:16 MSK 2026","passed","Mon Mar 16 19:22:18 MSK 2026","","test.user.CreateUserTest","test.user.CreateUserTest","createUniqueUser"
"","1642","Обновление данных неавторизованного пользователя [3] utils.pojo.User@2f143ea","","Mon Mar 16 19:22:13 MSK 2026","passed","Mon Mar 16 19:22:15 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataError"
"","8902","Проверка создания заказа с авторизацией и без списка ингредиентов","","Mon Mar 16 19:21:38 MSK 2026","passed","Mon Mar 16 19:21:47 MSK 2026","","test.order.CreateOrderTest","test.order.CreateOrderTest","createOrderWithAuthorizationAndWithoutIngredients"
"","1742","Авторизация с неверным логином и паролем [2] utils.pojo.UserCredentials@3380313d","","Mon Mar 16 19:22:22 MSK 2026","passed","Mon Mar 16 19:22:24 MSK 2026","","test.user.LoginUserTest","test.user.LoginUserTest","loginNonExistentUserError"
"","359","Проверка создания пользователя, если не заполнить одно из обязательных полей [2] utils.pojo.User@5d4af473","","Mon Mar 16 19:22:20 MSK 2026","passed","Mon Mar 16 19:22:20 MSK 2026","","test.user.CreateUserTest","test.user.CreateUserTest","createUserWithoutRequiredFields"
"","1792","Авторизация с неверным логином и паролем [1] utils.pojo.UserCredentials@124b8fe9","","Mon Mar 16 19:22:21 MSK 2026","passed","Mon Mar 16 19:22:22 MSK 2026","","test.user.LoginUserTest","test.user.LoginUserTest","loginNonExistentUserError"
"","358","Проверка создания пользователя, если не заполнить одно из обязательных полей [3] utils.pojo.User@3da8a302","","Mon Mar 16 19:22:20 MSK 2026","passed","Mon Mar 16 19:22:21 MSK 2026","","test.user.CreateUserTest","test.user.CreateUserTest","createUserWithoutRequiredFields"
"","1743","Успешная авторизация под существующим пользователем","","Mon Mar 16 19:22:26 MSK 2026","passed","Mon Mar 16 19:22:28 MSK 2026","","test.user.LoginUserTest","test.user.LoginUserTest","loginUserSuccess"
"","1746","Обновление данных неавторизованного пользователя [1] utils.pojo.User@5e89e527","","Mon Mar 16 19:22:10 MSK 2026","passed","Mon Mar 16 19:22:11 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataError"
"","1803","Обновление почты, которая уже используется, у авторизованного пользователя","","Mon Mar 16 19:22:08 MSK 2026","failed","Mon Mar 16 19:22:10 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserEmailError"
"","5488","Проверка создания заказа с авторизацией и со списком ингредиентов","","Mon Mar 16 19:21:53 MSK 2026","passed","Mon Mar 16 19:21:59 MSK 2026","","test.order.CreateOrderTest","test.order.CreateOrderTest","createOrderWithAuthorizationAndIngredients"
"","1679","Авторизация с неверным логином и паролем [3] utils.pojo.UserCredentials@44e19b99","","Mon Mar 16 19:22:24 MSK 2026","passed","Mon Mar 16 19:22:26 MSK 2026","","test.user.LoginUserTest","test.user.LoginUserTest","loginNonExistentUserError"
"","354","Проверка создания пользователя, если не заполнить одно из обязательных полей [1] utils.pojo.User@611ffa8d","","Mon Mar 16 19:22:20 MSK 2026","passed","Mon Mar 16 19:22:20 MSK 2026","","test.user.CreateUserTest","test.user.CreateUserTest","createUserWithoutRequiredFields"
"","1699","Успешное обновление данных авторизованного пользователя [2] utils.pojo.User@74eae1e0","","Mon Mar 16 19:22:03 MSK 2026","passed","Mon Mar 16 19:22:04 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataSuccess"
"","3190","Проверка создания заказа с неверным хешем ингредиентов","","Mon Mar 16 19:21:50 MSK 2026","passed","Mon Mar 16 19:21:53 MSK 2026","","test.order.CreateOrderTest","test.order.CreateOrderTest","createOrderWithWrongHashIngredients"
"","1660","Обновление данных неавторизованного пользователя [4] utils.pojo.User@3304362e","","Mon Mar 16 19:22:15 MSK 2026","passed","Mon Mar 16 19:22:16 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataError"
"","1666","Обновление данных неавторизованного пользователя [2] utils.pojo.User@752573df","","Mon Mar 16 19:22:11 MSK 2026","passed","Mon Mar 16 19:22:13 MSK 2026","","test.user.ChangeUserDataTest","test.user.ChangeUserDataTest","updateUserDataError"
